"Source Url","Url","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13","Column 14","Column 15","Column 16","Column 17","Column 18","Column 19","Column 20","Column 21","Column 22","Column 23","Column 24","Column 25","Column 26","Column 27","Column 28"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","טבלת הליגה 2007-08","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","","שם הקבוצה","נק","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","בית","בית","בית","בית","בית","בית","בית","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","","שם הקבוצה","נק","משחקים","משחקים","משחקים","סלים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","","שם הקבוצה","נק","מש","נצ","הפ","זכות","חובה","+/-","זכות","חובה","מש","נצ","הפ","זכות","חובה","זכות","חובה","מש''","נצ","הפ","זכות","חובה","זכות","חובה"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","1","הפועל חולון","46","27","20","7","2365","2136","+229","87.6","79.1","14","13","1","1285","1094","91.8","78.1","13","7","6","1080","1042","83.1","80.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","2","מכבי ת""א","45","27","18","9","2474","2235","+239","91.6","82.8","14","11","3","1306","1095","93.3","78.2","13","7","6","1168","1140","89.8","87.7"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","3","בני השרון","44","27","17","10","2136","2051","+85","79.1","76","14","10","4","1117","1055","79.8","75.4","13","7","6","1019","996","78.4","76.6"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","4","נהריה","42","27","15","12","2291","2237","+54","84.9","82.9","14","9","5","1211","1154","86.5","82.4","13","6","7","1080","1083","83.1","83.3"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","5","אשקלון","40","27","13","14","2306","2408","-102","85.4","89.2","13","7","6","1129","1146","86.8","88.2","14","6","8","1177","1262","84.1","90.1"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","6","הפועל י-ם","40","27","13","14","2286","2294","-8","84.7","85","14","10","4","1164","1095","83.1","78.2","13","3","10","1122","1199","86.3","92.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","7","עירוני ר""ג","39","27","12","15","2395","2482","-87","88.7","91.9","13","8","5","1220","1163","93.8","89.5","14","4","10","1175","1319","83.9","94.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","8","גליל עליון","37","27","10","17","2281","2420","-139","84.5","89.6","13","4","9","1103","1171","84.8","90.1","14","6","8","1178","1249","84.1","89.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","9","ראשל""צ","36","27","9","18","2153","2289","-136","79.7","84.8","13","3","10","1026","1094","78.9","84.2","14","6","8","1127","1195","80.5","85.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2008","","10","גלבוע/עפולה","35","27","8","19","2150","2285","-135","79.6","84.6","13","4","9","1075","1134","82.7","87.2","14","4","10","1075","1151","76.8","82.2"
